address,categories,city,country,keys,latitude,longitude,menus.amountMax,menus.amountMin,menus.currency,menus.dateSeen,menus.description,menus.name,name,postalCode,priceRangeCurrency,priceRangeMin,priceRangeMax,province
78 Speedwell Ave,Chinese Restaurant,Morristown,US,us/nj/morristown/78speedwellave/2017896719,40.800338,-74.482058,9,9,USD,2016-08-21T00:00:00Z,"Shrimp, calamari, mussels, scallion pancake",Seafood Pizza,Mr. Chung's,7960,USD,0,30,NJ
584 Amsterdam Ave,Restaurant,New York,US,us/nyc/newyork/584amsterdamave/-1518039706,40.789205,-73.973906,12.5,12.5,USD,2016-08-22T00:00:00Z,,Artichoke Pizza,Bodrum Turkish Mediterranean,10024,USD,0,30,Nyc
584 Amsterdam Ave,Restaurant,New York,US,us/nyc/newyork/584amsterdamave/-1518039706,40.789205,-73.973906,9.95,9.95,USD,2016-08-22T00:00:00Z,,Margherita Pizza,Bodrum Turkish Mediterranean,10024,USD,0,30,Nyc
584 Amsterdam Ave,Restaurant,New York,US,us/nyc/newyork/584amsterdamave/-1518039706,40.789205,-73.973906,11.95,11.95,USD,2016-08-22T00:00:00Z,,Mediterranean Pizza,Bodrum Turkish Mediterranean,10024,USD,0,30,Nyc
584 Amsterdam Ave,Restaurant,New York,US,us/nyc/newyork/584amsterdamave/-1518039706,40.789205,-73.973906,11.95,11.95,USD,2016-08-22T00:00:00Z,,Mushroom Pizza,Bodrum Turkish Mediterranean,10024,USD,0,30,Nyc
584 Amsterdam Ave,Restaurant,New York,US,us/nyc/newyork/584amsterdamave/-1518039706,40.789205,-73.973906,10.95,10.95,USD,2016-08-22T00:00:00Z,,Pepperoni Pizza,Bodrum Turkish Mediterranean,10024,USD,0,30,Nyc
584 Amsterdam Ave,Restaurant,New York,US,us/nyc/newyork/584amsterdamave/-1518039706,40.789205,-73.973906,11.95,11.95,USD,2016-08-22T00:00:00Z,,Spicy Sausage Pizza,Bodrum Turkish Mediterranean,10024,USD,0,30,Nyc
584 Amsterdam Ave,Restaurant,New York,US,us/nyc/newyork/584amsterdamave/-1518039706,40.789205,-73.973906,12.95,12.95,USD,2016-08-22T00:00:00Z,,White Pizza,Bodrum Turkish Mediterranean,10024,USD,0,30,Nyc
30 Littleton Rd,Pizza Place,Ayer,US,us/fortdevens/ayer/30littletonrd/-208582140,42.552097,-71.567703,21.99,21.99,USD,2016-06-20T17:55:23Z,24 Squares Double Cheese,Party Pizza,Lazy Mary's,1432,,0,0,Fort Devens
13440 22 Mile Rd,Pizza Place,Utica,US,us/mi/utica/1344022milerd/-1877255828,42.65518344,-82.99560353,10.99,10.99,USD,2016-06-20T17:17:40Z,,Pizza Fries,American Pie,48315,,0,0,MI
